年份,粮食产量/万吨,谷物产量/万吨,稻谷产量/万吨,小麦产量/万吨,玉米产量/万吨,豆类产量/万吨,薯类产量/万吨,农作物总播种面积/千公顷,粮食作物播种面积/千公顷,谷物播种面积/千公顷,稻谷播种面积/千公顷,小麦播种面积/千公顷,玉米播种面积/千公顷,豆类播种面积/千公顷,薯类播种面积/千公顷,年末总人口/万人,人均粮食产量/公斤
2023年,69541,64143,20660.3,13659,28884.2,,,,118968.5,,28949.1,23627.2,44218.9,,,140967,
2022年,68652.77,63324.34,20849.48,13772.34,27720.3,2351.03,2977.39,169990.92,118332.11,99268.82,29450.11,23518.46,43070.15,11877.93,7185.35,141175,486.15
2021年,68284.75,63275.69,21284.24,13694.45,27255.06,1965.52,3043.54,168695.13,117630.82,100176.66,29921.15,23567.06,43324.24,10120.74,7333.43,141260,483.48
2020年,66949.15,61674.28,21185.96,13425.38,26066.52,2287.46,2987.41,167487.14,116768.17,97964.23,30075.53,23379.99,41264.26,11593.45,7210.49,141212,474.45
2019年,66384.34,61369.73,20961.4,13359.63,26077.89,2131.9,2882.72,165930.66,116063.6,97847.03,29693.52,23727.68,41284.06,11074.67,7141.9,141008,471.57
2018年,65789.22,61003.58,21212.9,13144.05,25717.39,1920.27,2865.37,165902.38,117038.21,99671.44,30189.45,24266.19,42130.05,10186.34,7180.43,140541,469
2017年,66160.73,61520.54,21267.59,13424.13,25907.07,1841.56,2798.62,166331.91,117989.06,100764.56,30747.19,24478.15,42399,10051.29,7173.22,140011,473.86
2016年,66043.51,61666.53,21109.42,13318.83,26361.31,1650.66,2726.32,166939.04,119230.06,102701.72,30745.89,24665.78,44177.61,9287.21,7241.14,139232,475.89
2015年,66060.27,61818.41,21214.19,13255.52,26499.22,1512.52,2729.35,166829.28,118962.81,103225.31,30784.09,24566.9,44968.39,8432.73,7304.77,138326,478.75
2014年,63964.83,59601.54,20960.91,12823.52,24976.44,1564.52,2798.76,165183.32,117455.18,101086.79,30765.12,24442.7,42996.81,8823.92,7544.47,137646,466.26
2013年,63048.2,58650.35,20628.56,12363.93,24845.32,1542.4,2855.45,163702.25,115907.54,99287.58,30709.74,24439.65,41299.21,8892.86,7727.1,136726,462.49
2012年,61222.62,56659.03,20653.23,12247.49,22955.9,1680.64,2882.96,162071.25,114368.04,97142.22,30475.97,24550.93,39109.23,9405.13,7820.7,135922,452.1
2011年,58849.33,54061.73,20288.25,11856.95,21131.6,1863.3,2924.3,160360.38,112980.35,94615.26,30338.41,24506.86,36766.52,10367.25,7997.85,134916,437.53
